"LSOACODE","AVEPRICE","AVEINCOME","IMDSCORE","PTAINDEX","PTACAT"
"E01001121",513853.92,55536.67,5.6,1.18,"1. Lowest"
"E01001122",558908.81,58793.33,8.7,3.57,"1. Lowest"
"E01001123",439537.47,56280,8,2.1,"1. Lowest"
"E01001124",508801.62,59690,4.5,2.58,"1. Lowest"
"E01001125",380715.99,53113.33,12.6,6.2,"2. Low"
"E01001126",314506.86,50743.33,8.5,3.32,"1. Lowest"
"E01001127",464187.21,49790,7.1,3.63,"1. Lowest"
"E01001128",280931.43,40320,36.9,3.94,"1. Lowest"
"E01001129",471464.86,54033.33,4.6,3.7,"1. Lowest"
"E01001130",195700,37360,39.5,3.31,"1. Lowest"
"E01001131",287401.84,46463.33,13.3,1.02,"1. Lowest"
"E01001132",419326.76,49166.67,8.3,3.01,"1. Lowest"
"E01001133",352099.96,47523.33,10.3,5.22,"2. Low"
"E01001134",283068.09,48466.67,12.8,4.09,"1. Lowest"
"E01001135",405592.79,49266.67,8.3,5.39,"2. Low"
"E01001136",237293.31,38130,41.3,20.64,"4. High"
"E01001137",377271.07,45056.67,26,7.34,"2. Low"
"E01001138",401334.84,47130,16.6,8.53,"2. Low"
"E01001139",290572.26,43110,22,12.23,"3. Medium"
"E01001140",274015.29,43783.33,23.3,5.84,"2. Low"
"E01001141",248355.62,39750,29.8,8.06,"2. Low"
"E01001142",321241.19,45983.33,21.6,11.51,"3. Medium"
"E01001143",278840.22,39026.67,34.2,10.65,"3. Medium"
"E01001144",246999.28,38960,38.4,19.1,"3. Medium"
"E01001145",208225.93,35403.33,47.8,20.68,"4. High"
"E01001146",289353.5,42550,22,4.45,"1. Lowest"
"E01001147",246992.77,38266.67,33.3,5.39,"2. Low"
"E01001148",254489.13,41553.33,22.7,3.74,"1. Lowest"
"E01001149",288206.87,43873.33,19,3.96,"1. Lowest"
"E01001150",329965.7,46123.33,23.7,5.49,"2. Low"
"E01001151",246681.04,38053.33,39.9,11.52,"3. Medium"
"E01001152",258751.16,39313.33,35.8,14.22,"3. Medium"
"E01001153",305627.69,43236.67,25.3,12.73,"3. Medium"
"E01001154",239864.07,40226.67,32.2,16.38,"3. Medium"
"E01001155",226824.46,36170,49,18.32,"3. Medium"
"E01001156",404607.52,43813.33,27.4,7.79,"2. Low"
"E01001157",449549.47,46426.67,20.5,4.17,"1. Lowest"
"E01001158",313484.43,42690,21.6,6.98,"2. Low"
"E01001159",394270.01,47230,16.4,6.86,"2. Low"
"E01001160",324343.69,46860,15.4,3.8,"1. Lowest"
"E01001161",314350.28,37886.67,43.2,4.91,"1. Lowest"
"E01001162",349116.49,42963.33,28.2,9.15,"2. Low"
"E01001163",379203.85,45753.33,16,8.41,"2. Low"
"E01001164",343459.94,46623.33,20.4,18.02,"3. Medium"
"E01001165",260483.62,43060,21.8,16.83,"3. Medium"
"E01001166",274423.56,39830,31.1,21.47,"4. High"
"E01001167",302050.59,42706.67,21.7,10.66,"3. Medium"
"E01001168",243048.37,44630,19.8,13.61,"3. Medium"
"E01001169",310915.55,38373.33,33.4,6.67,"2. Low"
"E01001170",240819.67,43006.67,30.9,18.52,"3. Medium"
"E01001171",370744.8,41366.67,26.9,11.03,"3. Medium"
"E01001172",281862.4,37016.67,42.9,5.2,"2. Low"
"E01001173",307407.17,43830,22.4,3.93,"1. Lowest"
"E01001174",312216.09,41566.67,21.7,3.58,"1. Lowest"
"E01001175",272457.56,39813.33,33.8,12.11,"3. Medium"
"E01001176",237302.78,40573.33,25.6,7.88,"2. Low"
"E01001177",258674.24,39366.67,33.4,5.57,"2. Low"
"E01001178",198572.56,34896.67,57.6,11.3,"3. Medium"
"E01001179",279713.13,41510,22.4,6.15,"2. Low"
"E01001180",233470.77,39356.67,26.7,8.18,"2. Low"
"E01001181",218156.18,36310,41.4,11.94,"3. Medium"
"E01001182",272590.59,42043.33,22.3,5.7,"2. Low"
"E01001183",248903.82,38710,24.1,9.62,"2. Low"
"E01001184",333141.67,42880,16.8,4.81,"1. Lowest"
"E01001185",239789.25,42046.67,23.8,14.23,"3. Medium"
"E01001186",243499.31,40133.33,31.9,10.35,"3. Medium"
"E01001187",245270.51,41983.33,25.7,5.57,"2. Low"
"E01001188",271038.52,40186.67,33,16.65,"3. Medium"
"E01001189",328870.58,43516.67,18.3,12.91,"3. Medium"
"E01001190",306966.41,42530,27.5,8.53,"2. Low"
"E01001191",232881.99,37793.33,35,20.28,"4. High"
"E01001192",277276.87,38926.67,31.3,13.67,"3. Medium"
"E01001193",276531.54,38833.33,34.5,5.91,"2. Low"
"E01001194",318140.35,44503.33,21.7,9.51,"2. Low"
"E01001195",685423.29,48630,14.5,8.07,"2. Low"
"E01001196",407789.6,38270,45,11.84,"3. Medium"
"E01001197",646506.36,48666.67,23.5,7.28,"2. Low"
"E01001198",826338.63,49360,18.1,6.11,"2. Low"
"E01001199",543488.41,47096.67,21.6,7.81,"2. Low"
"E01001200",717855.08,49626.67,19.2,4.75,"1. Lowest"
"E01001201",671740.03,50676.67,18.7,5.55,"2. Low"
"E01001202",576352.55,41706.67,37.5,15.49,"3. Medium"
"E01001203",460809.71,42430,31.6,11.54,"3. Medium"
"E01001204",659244.8,54433.33,11.9,9.82,"2. Low"
"E01001205",432823.25,44650,34.4,7.13,"2. Low"
"E01001206",380946.49,39983.33,49.9,5.12,"2. Low"
"E01001207",532280.49,52820,14.3,11.16,"3. Medium"
"E01001208",734897.3,58940,10,8.16,"2. Low"
"E01001209",729173.49,64866.67,6.7,4.4,"1. Lowest"
"E01001210",381236.88,37883.33,51.6,9.25,"2. Low"
"E01001211",527152.99,56793.33,10.3,6.77,"2. Low"
"E01001212",680773.9,55123.33,14.9,8.41,"2. Low"
"E01001213",283955.71,36760,32.9,12.4,"3. Medium"
"E01001214",365411.11,39813.33,18.5,8.06,"2. Low"
"E01001215",323492.61,36703.33,34.3,17.61,"3. Medium"
"E01001216",223955.36,39620,24,10.88,"3. Medium"
"E01001217",324145.14,42690,18.8,4.49,"1. Lowest"
"E01001218",317906.29,36860,38.3,4.89,"1. Lowest"
"E01001219",220600.24,34466.67,40.5,5.45,"2. Low"
"E01001220",220400,32930,49.7,7.48,"2. Low"
"E01001221",602729.87,53700,24.2,31.6,"5. Highest"
"E01001222",487956.57,52250,23.6,19.69,"3. Medium"
"E01001223",781165.23,60620,10.1,14.33,"3. Medium"
"E01001224",1074743.34,65230,7,8.96,"2. Low"
"E01001225",916174.8,58676.67,24,32.12,"5. Highest"
"E01001226",664611.35,57000,13.2,16.68,"3. Medium"
"E01001227",743019.71,63043.33,8.3,9.71,"2. Low"
"E01001228",694844.65,56200,9.6,24.18,"4. High"
"E01001229",455119.92,45403.33,30.6,7.7,"2. Low"
"E01001230",767895.54,58676.67,22.4,8.21,"2. Low"
"E01001231",825729.95,56056.67,13.5,13.38,"3. Medium"
"E01001232",652196.49,51640,20.7,3.38,"1. Lowest"
"E01001233",626167.37,51233.33,22.6,12.03,"3. Medium"
"E01001234",539108.41,52803.33,23.8,16,"3. Medium"
"E01001235",526200.83,58296.67,15.1,28.25,"5. Highest"
"E01001236",756248.89,55690,16.8,14.17,"3. Medium"
"E01001237",626268.09,59040,14.9,4.96,"1. Lowest"
"E01001238",306140.92,40003.33,29.3,18.52,"3. Medium"
"E01001239",369984.94,38896.67,33.3,14.98,"3. Medium"
"E01001240",580833.33,40930,28.1,21.59,"4. High"
"E01001241",498532.49,41746.67,24.6,9.76,"2. Low"
"E01001242",720373.1,43620,26.9,3.5,"1. Lowest"
"E01001243",616916.49,40636.67,32.3,13.38,"3. Medium"
"E01001244",395162.19,40026.67,31.5,10.79,"3. Medium"
"E01001245",575419.1,46753.33,16.9,10.95,"3. Medium"
"E01001246",450230.87,40403.33,36.4,12.85,"3. Medium"
"E01001247",557169.16,42916.67,23.4,10.36,"3. Medium"
"E01001248",509056.08,50293.33,18,4.91,"1. Lowest"
"E01001249",446559.08,42633.33,41.7,18.74,"3. Medium"
"E01001250",369774.32,43160,36.4,13.17,"3. Medium"
"E01001251",554087.6,50680,17,14.28,"3. Medium"
"E01001252",457589.85,46836.67,26.7,14.89,"3. Medium"
"E01001253",481648.53,50006.67,15.5,5.61,"2. Low"
"E01001254",483285.67,52260,14.1,8.63,"2. Low"
"E01001255",584999.19,52903.33,11.7,7.7,"2. Low"
"E01001257",256527.64,34396.67,42.7,7.05,"2. Low"
"E01001258",320535.26,40353.33,17.3,10.09,"3. Medium"
"E01001259",352496.61,40916.67,22.9,11.96,"3. Medium"
"E01001260",344442.89,41066.67,23.9,13.75,"3. Medium"
"E01001261",306273.48,39533.33,26.7,16.08,"3. Medium"
"E01001262",244181.75,37953.33,31.7,5.98,"2. Low"
"E01001263",239699.51,37813.33,30.6,3.78,"1. Lowest"
"E01001264",310535.06,39373.33,27.6,3.27,"1. Lowest"
"E01001265",303756.33,42693.33,19.1,2.14,"1. Lowest"
"E01001266",397838.99,45220,15.9,9.71,"2. Low"
"E01001267",304952.66,40633.33,29.6,8.61,"2. Low"
"E01001268",410493.7,47170,17.1,4.45,"1. Lowest"
"E01001269",352672.76,45070,14.2,8.36,"2. Low"
"E01001270",354843.23,46980,15.4,3.37,"1. Lowest"
"E01001271",336529.17,44333.33,18.5,6.97,"2. Low"
"E01001272",296231.56,45110,14.9,14.68,"3. Medium"
"E01001273",888871.27,60646.67,7.1,9.99,"2. Low"
"E01001274",675328.51,59003.33,8.1,8.73,"2. Low"
"E01001275",556117.93,54960,16.8,18.9,"3. Medium"
"E01001276",353659.99,46723.33,21.9,6.17,"2. Low"
"E01001277",511447.1,50493.33,18,12.71,"3. Medium"
"E01001278",497340.93,48880,20.2,17.06,"3. Medium"
"E01001279",876281.79,67376.67,6,6.53,"2. Low"
"E01001280",586578.72,53106.67,11.9,8.95,"2. Low"
"E01001281",721850.64,66306.67,6.8,5.89,"2. Low"
"E01001282",354291.75,38843.33,31.2,8.63,"2. Low"
"E01001283",335088.42,38450,37.1,12.96,"3. Medium"
"E01001284",473400.3,51086.67,16.4,7.34,"2. Low"
"E01001285",403419.69,42973.33,22.8,7.67,"2. Low"
"E01001286",431777.97,42566.67,24.5,6.75,"2. Low"
"E01001287",400675.54,40636.67,33.4,5.18,"2. Low"
"E01001288",586486.66,52490,15.5,8.26,"2. Low"
"E01001289",603588.7,52896.67,14.7,8.69,"2. Low"
"E01001290",460567.63,51100,12.6,5.79,"2. Low"
"E01001291",345423.99,42503.33,20.4,8.7,"2. Low"
"E01001292",385482.1,45820,14.1,7.32,"2. Low"
"E01001293",315403.81,42073.33,18.3,5.52,"2. Low"
"E01001294",317585.76,40376.67,20.1,5.55,"2. Low"
"E01001295",296950.23,41163.33,16.3,5.83,"2. Low"
"E01001296",328988.89,39976.67,23,6.06,"2. Low"
"E01001297",258581.67,39626.67,26,5.44,"2. Low"
"E01001298",270772.36,38526.67,28.1,7.63,"2. Low"
"E01001299",724731.14,59990,6.2,9.2,"2. Low"
"E01001300",768069.54,63000,8.3,13.24,"3. Medium"
"E01001301",436618.21,53556.67,19.8,8.74,"2. Low"
"E01001302",657002.96,58493.33,10.3,11.13,"3. Medium"
"E01001303",786103.04,64583.33,8.3,12.42,"3. Medium"
"E01001304",472796.23,56720,12.3,9.88,"2. Low"
"E01001305",693996.63,62003.33,6.1,7.03,"2. Low"
"E01001306",632626.4,60716.67,6.7,9.2,"2. Low"
"E01001307",346580.92,47170,13.4,2.72,"1. Lowest"
"E01001308",414621.54,47766.67,11.8,4.37,"1. Lowest"
"E01001309",336416.76,45190,15.3,4.06,"1. Lowest"
"E01001310",269044.85,45230,18.3,6.85,"2. Low"
"E01001311",333613.16,40633.33,29.1,6.11,"2. Low"
"E01001312",405887.05,45816.67,15.3,11.93,"3. Medium"
"E01001313",409934.08,46913.33,11.9,7.07,"2. Low"
"E01001314",378872.42,47470,12.3,4.14,"1. Lowest"
"E01001315",316515.13,40980,18.9,7.8,"2. Low"
"E01001316",292893.93,36833.33,35.2,9.92,"2. Low"
"E01001317",300232.03,38850,25.8,6.9,"2. Low"
"E01001318",281294.57,37256.67,32.6,10.73,"3. Medium"
"E01001319",349495.95,43623.33,16.4,10.54,"3. Medium"
"E01001320",264618.33,36193.33,40.6,1.14,"1. Lowest"
"E01001321",337116.74,40810,25.7,7.95,"2. Low"
"E01001322",332732.31,43626.67,19.6,10.02,"3. Medium"
"E01001323",307743.32,42966.67,23.6,14.41,"3. Medium"
"E01001324",227206.28,38830,33.1,6.32,"2. Low"
"E01001325",313579.1,37983.33,26.7,1.7,"1. Lowest"
"E01001326",258043.27,36293.33,33.2,1.36,"1. Lowest"
"E01001327",317436.65,37643.33,28.5,6.89,"2. Low"
"E01001328",321789.92,36320,36.2,6.97,"2. Low"
"E01001329",322159.36,38810,25.5,4.1,"1. Lowest"
"E01001330",197715.28,33870,45,6.55,"2. Low"
"E01001331",235799,35123.33,39,6.29,"2. Low"
"E01001332",204208.9,35396.67,38.2,7.34,"2. Low"
"E01001333",275833.33,34770,42.5,11.53,"3. Medium"
"E01001334",227165.59,32540,42.7,4.94,"1. Lowest"
"E01001335",526950.6,42956.67,21.1,1.55,"1. Lowest"
"E01001336",586776.41,39280,25.6,3.77,"1. Lowest"
"E01001337",435027.28,38750,36.1,3.48,"1. Lowest"
"E01001338",284311.11,36936.67,28.7,5.8,"2. Low"
"E01001339",487500,36340,36.6,2.08,"1. Lowest"
"E01001340",286088.36,39423.33,40.5,4.4,"1. Lowest"
"E01001341",434971.47,44780,14.5,3.13,"1. Lowest"
"E01001342",362349.08,44543.33,16.4,4.06,"1. Lowest"
"E01001343",434688.89,46170,13.9,4.17,"1. Lowest"
"E01001344",362648.84,45040,21.4,9.27,"2. Low"
"E01001345",361780,41816.67,17.8,4.4,"1. Lowest"
"E01001346",425970,47113.33,11.8,7.02,"2. Low"
"E01001347",388328.12,45870,17.2,4.07,"1. Lowest"
"E01001348",400902.27,47590,19.2,10.92,"3. Medium"
"E01001349",377167.33,42530,33.3,8.3,"2. Low"
"E01001350",644778.72,52023.33,17.7,11.73,"3. Medium"
"E01001351",547195.1,43180,33.9,19.59,"3. Medium"
"E01001352",781465.27,52886.67,16.5,18.86,"3. Medium"
"E01001353",518061.76,43023.33,25.3,18.2,"3. Medium"
"E01001354",807801.02,52936.67,19.9,20.07,"4. High"
"E01001355",561800.39,42413.33,24.1,14.03,"3. Medium"
"E01001356",306666.67,34030,53.7,16.5,"3. Medium"
"E01001357",440735.32,37303.33,43.6,10.01,"3. Medium"
"E01001358",257960.69,34790,52.6,13.32,"3. Medium"
"E01001359",306666.67,36160,27.7,8.32,"2. Low"
"E01001360",299000.28,37520,31.5,15.38,"3. Medium"
"E01001361",288936.43,36083.33,41.5,15.91,"3. Medium"
"E01001362",303909.23,36710,33.5,11.77,"3. Medium"
"E01001363",253847.47,35770,28.7,6.8,"2. Low"
"E01001364",245100,35340,46,4.9,"1. Lowest"
"E01001365",284663.86,36653.33,29.7,1.96,"1. Lowest"
"E01001366",260258.1,35783.33,30.9,5.22,"2. Low"
"E01001367",188181.82,34260,38.2,14.32,"3. Medium"
"E01001368",309819.44,36893.33,29.9,6.59,"2. Low"
"E01001369",239950.91,35030,32.4,10.5,"3. Medium"
"E01001370",285859.48,36586.67,29.5,4.15,"1. Lowest"
"E01001371",227165.59,35396.67,31.7,6.88,"2. Low"
"E01001372",262477.56,35716.67,35.6,7.12,"2. Low"
"E01001373",242285.77,35660,33.2,9.25,"2. Low"
"E01001374",817264.33,58223.33,14.4,7.2,"2. Low"
"E01001375",1037869.61,70873.33,6.1,7.89,"2. Low"
"E01001376",493782.47,53236.67,25.5,6.4,"2. Low"
"E01001377",1776859.25,71960,9.3,13.34,"3. Medium"
"E01001379",1033301.79,71690,6.4,8.08,"2. Low"
"E01001380",733301.77,60010,13.1,12.29,"3. Medium"
"E01001381",566682.61,54936.67,19.6,9.9,"2. Low"
"E01001382",868426.78,66896.67,7,9,"2. Low"
"E01001383",627455.13,55426.67,11,8.35,"2. Low"
"E01001384",590043.08,60443.33,8.9,11.57,"3. Medium"
"E01001385",670454.9,62170,8.2,11.08,"3. Medium"
"E01001386",729167.07,64196.67,8.3,10.21,"3. Medium"
"E01001387",552073.43,58020,15.9,16.68,"3. Medium"
"E01001388",530957.28,48313.33,34.8,19.71,"3. Medium"
"E01001389",557892.66,50130,20.8,15.54,"3. Medium"
"E01001390",496155.96,50353.33,10,22.05,"4. High"
"E01001391",365596.91,43710,26.8,11.93,"3. Medium"
"E01001392",524332.9,50086.67,10.5,15.62,"3. Medium"
"E01001393",355397.96,47053.33,16.8,15.79,"3. Medium"
"E01001394",359280.92,41383.33,30.2,11.47,"3. Medium"
"E01001395",336989.93,39910,35.1,2.88,"1. Lowest"
"E01001396",447880.67,44973.33,23,11.91,"3. Medium"
"E01001397",265040.38,41833.33,27.2,7.45,"2. Low"
"E01001398",478254.2,56596.67,8.6,8.66,"2. Low"
"E01001399",447415.74,53386.67,11.4,7.35,"2. Low"
"E01001400",404366.11,53620,10.8,7.77,"2. Low"
"E01001401",398732.9,50566.67,13.9,8.21,"2. Low"
"E01001402",413769.67,55340,10,6.77,"2. Low"
"E01001403",348326.82,49150,18.2,5.44,"2. Low"
"E01001404",475505.41,47810,21.5,1.39,"1. Lowest"
"E01001405",384664.96,49270,13.5,8.74,"2. Low"
"E01001406",394083.75,46726.67,23.5,8.23,"2. Low"
"E01001407",389356.57,45480,18.8,1.17,"1. Lowest"
"E01001408",364672.34,49266.67,16.5,9.04,"2. Low"
"E01001409",235438.44,39910,33.5,3.28,"1. Lowest"
"E01001410",187498.97,37666.67,50.2,1.52,"1. Lowest"
"E01001411",386201.39,49060,12.5,5.3,"2. Low"
"E01001412",590319.37,45600,29.4,0.57,"1. Lowest"
"E01001413",509600.75,52343.33,8.4,2.49,"1. Lowest"
"E01001414",288218.83,40143.33,39.5,3.94,"1. Lowest"
"E01001415",580884.8,49330,14.2,7.82,"2. Low"
"E01001416",714159.54,59513.33,5.4,6.84,"2. Low"
"E01001417",1297859.76,69180,6.1,0.98,"1. Lowest"
"E01001418",390090.03,51270,21.5,9.09,"2. Low"
"E01001419",426758.45,48776.67,14.9,11.71,"3. Medium"
"E01001420",446200.87,45576.67,25.8,4.87,"1. Lowest"
"E01001421",316091.17,43760,25.3,6.28,"2. Low"
"E01001422",1532477.7,79446.67,6.4,1.58,"1. Lowest"
"E01001423",326944.64,37066.67,37.5,12.88,"3. Medium"
"E01001424",205816.45,34550,48.3,21.26,"4. High"
"E01001425",224916.64,33016.67,56.1,17.24,"3. Medium"
"E01001426",274506.4,33760,44.7,7.94,"2. Low"
"E01001427",164687.5,32513.33,47,2.88,"1. Lowest"
"E01001428",287369.58,35320,41.3,8.05,"2. Low"
"E01001429",175550.06,32610,51.7,22.63,"4. High"
"E01001430",207221.34,31353.33,48.8,19.35,"3. Medium"
"E01001431",209337.92,34660,48.5,6.34,"2. Low"
"E01001432",245052.47,35563.33,44.2,14.75,"3. Medium"
"E01001433",278533.4,37113.33,39,5.31,"2. Low"
"E01001434",287148.61,39873.33,29.2,3.49,"1. Lowest"
"E01001435",305257.25,40696.67,25.2,5.15,"2. Low"
"E01001436",310378.48,40256.67,28.8,4.71,"1. Lowest"
"E01001437",260857.97,35250,38.7,1.97,"1. Lowest"
"E01001438",297864.05,38540,36.5,7.04,"2. Low"
"E01001439",236015.75,34846.67,39.2,7.98,"2. Low"
"E01001440",315152.07,37686.67,30.5,7.77,"2. Low"
"E01001441",244435.3,35670,40.8,5.27,"2. Low"
"E01001442",224343.91,33260,43.6,8.97,"2. Low"
"E01001444",263203.76,39953.33,22.3,6.08,"2. Low"
"E01001445",242277.5,39833.33,31.8,3.28,"1. Lowest"
"E01001446",256971.84,38466.67,30.7,7.56,"2. Low"
"E01001447",224809.71,36050,43.9,7,"2. Low"
"E01001448",274826.27,38183.33,36.8,7.98,"2. Low"
"E01001449",269071.42,38943.33,28.9,7.16,"2. Low"
"E01001450",326334.76,47426.67,22.3,16.39,"3. Medium"
"E01001451",468270.93,57150,16.2,8.44,"2. Low"
"E01001452",726210.35,63696.67,9.8,3.5,"1. Lowest"
"E01001453",627542.24,59206.67,7.2,5.34,"2. Low"
"E01001454",575812.27,60110,7,7.69,"2. Low"
"E01001455",469647.71,54280,12.5,5.5,"2. Low"
"E01001456",648162.32,65180,5,8.25,"2. Low"
"E01001457",379631.31,55213.33,12.6,14.29,"3. Medium"
"E01001458",210823.68,33223.33,45.1,10.53,"3. Medium"
"E01001459",317450.03,40533.33,25.9,5.01,"2. Low"
"E01001460",235283.89,36716.67,42.6,17.67,"3. Medium"
"E01001461",235490.39,34876.67,50,5.73,"2. Low"
"E01001462",290360.42,37606.67,38.3,8.26,"2. Low"
"E01001463",309211.26,39923.33,24.5,5.47,"2. Low"
"E01001464",338925,35750,38.6,4.29,"1. Lowest"
"E01001465",330880.27,40160,27.3,6.53,"2. Low"
"E01001466",272816.9,38133.33,28,9.78,"2. Low"
"E01001467",294693.53,39760,28.1,8.59,"2. Low"
"E01001468",585629.01,54493.33,29.4,4.65,"1. Lowest"
"E01001469",355151.43,49690,21.5,8.3,"2. Low"
"E01001470",544020.35,54826.67,10.6,2.17,"1. Lowest"
"E01001471",338714.72,52126.67,17.6,4.39,"1. Lowest"
"E01001472",385773.53,51506.67,13.6,10.94,"3. Medium"
"E01001473",546875.54,51053.33,19.4,3.26,"1. Lowest"
"E01001474",437999.27,57183.33,13,7.26,"2. Low"
"E01001475",604211.63,57313.33,5.4,5.9,"2. Low"
"E01001476",300377.78,39526.67,25.8,7.53,"2. Low"
"E01001477",316128.45,37673.33,36.2,2.05,"1. Lowest"
"E01001478",326529.43,42260,24.1,3.89,"1. Lowest"
"E01001479",285509.9,38610,33.7,6.58,"2. Low"
"E01001480",262324.26,40633.33,26.1,4.34,"1. Lowest"
"E01001481",302255.86,39453.33,27.2,3.9,"1. Lowest"
"E01001482",234129.08,36700,36.7,4.54,"1. Lowest"
"E01001483",191417.74,34060,56.2,1.31,"1. Lowest"
"E01001484",306288.27,41683.33,24.4,4.79,"1. Lowest"
"E01001485",243774.61,35393.33,38.6,20.34,"4. High"
"E01001486",263751.03,33833.33,40.9,5.8,"2. Low"
"E01001487",276307.49,35893.33,37.7,11.71,"3. Medium"
"E01001488",264567.52,39513.33,32.4,10.01,"3. Medium"
"E01001489",289617.24,37566.67,30.2,7.01,"2. Low"
"E01001491",244073.01,37153.33,36.1,17.53,"3. Medium"
"E01001492",286553.6,37023.33,32.6,8.65,"2. Low"
"E01001493",372467.06,43300,28.7,3.66,"1. Lowest"
"E01001494",445752.21,45823.33,15.8,3.25,"1. Lowest"
"E01001495",441275.65,50076.67,12.5,8.27,"2. Low"
"E01001496",529024.78,49203.33,15.6,2.87,"1. Lowest"
"E01001497",356968.61,44403.33,25.4,2.74,"1. Lowest"
"E01001498",396313.94,49073.33,18,11.01,"3. Medium"
"E01001499",425145.04,45140,21.1,5.51,"2. Low"
"E01001500",484112.01,47606.67,21.1,6.56,"2. Low"
"E01001501",329050.47,45973.33,26.8,12.51,"3. Medium"
"E01001502",296673.71,37713.33,32.5,6.39,"2. Low"
"E01001503",298943.59,38433.33,26.5,7.15,"2. Low"
"E01001504",280138.7,38230,31.8,6.69,"2. Low"
"E01001505",279359,37296.67,32.7,13.43,"3. Medium"
"E01001506",248782.78,36030,40.2,3.2,"1. Lowest"
"E01001507",235929.77,34860,48,13.13,"3. Medium"
"E01001508",232223.62,37366.67,31.2,10.61,"3. Medium"
"E01001509",235015.78,35053.33,36.2,8.03,"2. Low"
"E01001510",338885.99,32500,51.1,6.11,"2. Low"
"E01001511",329154.63,45153.33,21.5,9.96,"2. Low"
"E01001512",299114.58,44326.67,22.1,14.49,"3. Medium"
"E01001513",294087.84,39100,33.5,7.43,"2. Low"
"E01001514",323036.01,45360,22.2,5.78,"2. Low"
"E01001515",254959.22,37723.33,37.4,8.16,"2. Low"
"E01001516",295716.99,39656.67,30.6,3.86,"1. Lowest"
"E01001517",231683.84,33343.33,47.1,6,"2. Low"
"E01001518",321214.66,46776.67,23.9,8.5,"2. Low"
"E01001519",331470.5,48303.33,14.8,16.76,"3. Medium"
"E01001520",530098.42,50306.67,18.2,11.84,"3. Medium"
"E01001521",545150.48,57670,8.2,11.23,"3. Medium"
"E01001522",340423.9,51696.67,17,3.44,"1. Lowest"
"E01001523",504936.62,52646.67,9.6,2.54,"1. Lowest"
"E01001524",429487.25,50640,20.5,8.08,"2. Low"
"E01001525",407944.33,49593.33,20.4,8.67,"2. Low"
"E01001526",489308.17,53480,9.2,3.27,"1. Lowest"
"E01001527",487295.36,51886.67,17.1,8.82,"2. Low"
"E01001528",326973.02,40573.33,35.8,17.64,"3. Medium"
"E01001529",389415.02,41390,38.7,23.5,"4. High"
"E01001530",508783.56,48426.67,19.2,16.41,"3. Medium"
"E01001531",726242.07,62886.67,8.1,5.26,"2. Low"
"E01001532",682129.23,60903.33,6.4,6.98,"2. Low"
"E01001533",670518.24,60813.33,5,5.03,"2. Low"
"E01001534",518284.06,52063.33,12.4,15.55,"3. Medium"
"E01001535",699373.58,56863.33,11.1,12.47,"3. Medium"
"E01001536",421910.95,53550,19.3,16.24,"3. Medium"
"E01001537",331280.02,48870,11.8,3.09,"1. Lowest"
"E01001538",440659.88,53013.33,13.3,2.48,"1. Lowest"
"E01001539",365474.7,51753.33,14.3,3.62,"1. Lowest"
"E01001540",292473.35,50960,14.5,10.06,"3. Medium"
"E01001541",371917.94,54400,9.5,7.15,"2. Low"
"E01001542",322519.09,46413.33,19.7,6.1,"2. Low"
"E01001543",419861.65,53063.33,10.7,3.32,"1. Lowest"
"E01001544",467962.19,53340,9.9,13.14,"3. Medium"
"E01001545",230375.32,34286.67,51.5,4,"1. Lowest"
"E01001546",284974.68,39393.33,28.8,4.37,"1. Lowest"
"E01001547",301788.98,37503.33,33,7.18,"2. Low"
"E01001548",264923.04,37603.33,33.5,5.88,"2. Low"
"E01001549",203395.35,32776.67,49.8,4.97,"1. Lowest"
"E01001550",279481.37,37086.67,38,4.13,"1. Lowest"
"E01001551",308780.69,36010,44,3.83,"1. Lowest"
"E01001552",298422.55,41173.33,27,7.18,"2. Low"
"E01001553",321014.28,34353.33,41.2,6.28,"2. Low"
"E01001554",180440.4,32290,50.8,14.82,"3. Medium"
"E01001555",265180.82,36983.33,35.4,16.82,"3. Medium"
"E01001556",402282.9,41123.33,18.3,5.52,"2. Low"
"E01001557",285195.76,38666.67,36.9,4.19,"1. Lowest"
"E01001558",247846.44,35520,45.3,19.99,"3. Medium"
"E01001559",267321.45,36986.67,45.6,4.2,"1. Lowest"
"E01001560",358944.24,38980,34.7,8.1,"2. Low"
"E01001562",157075.82,33540,47.9,6.19,"2. Low"
"E01001563",433902.32,51733.33,15.7,7.85,"2. Low"
"E01001564",583617.04,61126.67,12.1,8.1,"2. Low"
"E01001565",565586.41,52190,16.1,6.15,"2. Low"
"E01001566",592022.5,56956.67,15.9,10.67,"3. Medium"
"E01001567",655466.96,62813.33,6.2,7.64,"2. Low"
"E01001568",1240021.08,64670,9.8,4.33,"1. Lowest"
"E01001569",504043.7,58390,12.5,9.19,"2. Low"
"E01001570",425115.94,49873.33,17,4.12,"1. Lowest"
"E01001571",292633.18,43903.33,16.9,7.74,"2. Low"
"E01001572",304364.36,44426.67,16.4,12.95,"3. Medium"
"E01001573",315355.59,43780,16.7,8.07,"2. Low"
"E01001574",250370.83,37706.67,44.8,4.48,"1. Lowest"
"E01001575",229126.29,37070,42.9,11.73,"3. Medium"
"E01001576",224716.09,37380,42.2,4.19,"1. Lowest"
"E01001577",227933.55,36856.67,36.8,12,"3. Medium"
"E01001578",267245.42,39813.33,27.6,13.13,"3. Medium"
